gem_type,species,variety,carat,color,cut,clarity,shape,length,width,depth,origin,treatment,is_certified,certification_lab,heat_treatment,mining_location,quality_grade,rarity_score,market_type,price_lkr,price_usd,sale_date,seller_type,notes
Spinel,Spinel,Blue Spinel,9.39,Blue,Pear,Eye-clean,Pear,21.0,19.1,16.0,Sri Lanka,Natural,false,Lotus,No,Meetiyagoda,AAAA,5,International,78772,262.57,2023-07-21,High-End Dealer,"Blue blue spinel, Eye-clean clarity"
Spinel,Spinel,Blue Spinel,5.33,Blue,Oval,VS1,Oval,12.7,9.5,9.7,Sri Lanka,Natural,true,AIGS,No,Balangoda,AAA,5,Collector,88118,293.73,2023-04-30,Dealer,"Blue blue spinel, VS1 clarity"
Sapphire,Corundum,Blue Sapphire,6.15,Normal Blue,Oval,VS1,Oval,14.7,14.1,11.9,Sri Lanka,Heated,true,Lotus,Yes,Ratnapura,AA,10,Export,3199977,10666.59,2024-11-16,Certified Dealer,"Normal Blue blue sapphire, VS1 clarity"
Sapphire,Corundum,Yellow Sapphire,1.45,Yellow,Cushion,VVS,Cushion,7.0,6.0,4.7,Sri Lanka,Natural,true,GIA,No,Ratnapura,AA,4,Local,95164,317.21,2023-11-05,Certified Dealer,"Yellow yellow sapphire, VVS clarity"
Ruby,Corundum,Ruby,7.97,Red,Oval,VVS,Oval,19.7,17.7,14.4,Sri Lanka,Natural,false,AIGS,No,Elahera,AA,3,Local,39426,131.42,2023-10-21,Certified Dealer,"Red ruby, VVS clarity"
Spinel,Spinel,Blue Spinel,1.55,Blue,Oval,VS,Oval,7.9,6.2,4.8,Sri Lanka,Natural,true,Lotus,No,Ratnapura,AAA+,5,Collector,5921,19.74,2023-10-03,Certified Dealer,"Blue blue spinel, VS clarity"
Sapphire,Corundum,Dark Blue Sapphire,2.19,Dark Blue,Oval,VVS,Oval,8.2,7.7,5.8,Sri Lanka,Natural,true,GIA,No,Balangoda,AAA,9,Collector,78788,262.63,2023-12-18,High-End Dealer,"Dark Blue dark blue sapphire, VVS clarity"
Tourmaline,Tourmaline,Green Tourmaline,9.68,Green,Round,Eye-clean,Round,24.1,13.8,11.6,Sri Lanka,Natural,true,Lotus,No,Balangoda,AAA,3,Collector,35368,117.89,2024-07-07,Dealer,"Green green tourmaline, Eye-clean clarity"
Tourmaline,Tourmaline,Green Tourmaline,3.01,Green,Round,Eye-clean,Round,9.9,9.0,7.1,Sri Lanka,Natural,true,NGJA,No,Balangoda,AA,3,Collector,2643,8.81,2023-03-31,Certified Dealer,"Green green tourmaline, Eye-clean clarity"
Ruby,Corundum,Ruby,8.18,Red,Round,VS,Round,19.6,12.9,13.4,Sri Lanka,Natural,true,GIA,No,Ratnapura,AAAA,8,International,34090,113.63,2023-08-30,High-End Dealer,"Red ruby, VS clarity"
Sapphire,Corundum,White Sapphire,2.81,White,Pear,VS,Pear,10.3,8.2,6.0,Sri Lanka,Natural,false,GIA,No,Meetiyagoda,AAAA,10,Export,26760,89.2,2023-08-14,High-End Dealer,"White white sapphire, VS clarity"
Sapphire,Corundum,Dark Blue Sapphire,7.75,Dark Blue,Oval,Eye-clean,Oval,18.8,14.1,13.3,Sri Lanka,Natural,true,Lotus,No,Ratnapura,AA,7,International,3326545,11088.48,2023-03-16,Collector,"Dark Blue dark blue sapphire, Eye-clean clarity"
Sapphire,Corundum,Padparadscha,8.27,Orange-Pink,Pear,VS,Pear,21.5,18.8,9.7,Sri Lanka,Unheated,true,Lotus,No,Meetiyagoda,AAAA,10,Export,1265832,4219.44,2023-01-21,High-End Dealer,"Orange-Pink padparadscha, VS clarity"
Ruby,Corundum,Ruby,2.58,Red,Cushion,VS,Cushion,8.8,8.0,5.8,Sri Lanka,Natural,false,Lotus,No,Meetiyagoda,AAA,10,Collector,6080,20.27,2024-04-18,Collector,"Red ruby, VS clarity"
Ruby,Corundum,Ruby,3.48,Red,Emerald,VS,Emerald,10.6,10.2,6.8,Sri Lanka,Natural,true,NGJA,No,Meetiyagoda,AAA,9,Collector,8432,28.11,2023-08-08,High-End Dealer,"Red ruby, VS clarity"
Sapphire,Corundum,Dark Blue Sapphire,5.49,Dark Blue,Pear,Eye-clean,Pear,13.8,12.9,8.9,Sri Lanka,Natural,false,Lotus,No,Elahera,AAA+,5,Collector,3056056,10186.85,2024-01-28,Collector,"Dark Blue dark blue sapphire, Eye-clean clarity"
Ruby,Corundum,Ruby,1.93,Red,Pear,VVS,Pear,7.8,7.1,5.7,Sri Lanka,Natural,true,GIA,No,Meetiyagoda,AA,4,Collector,4498,14.99,2024-06-29,High-End Dealer,"Red ruby, VVS clarity"
Ruby,Corundum,Ruby,3.38,Red,Round,VS,Round,11.1,8.4,6.9,Sri Lanka,Natural,false,GIA,No,Elahera,AA,10,Export,10026,33.42,2023-01-18,Dealer,"Red ruby, VS clarity"
Sapphire,Corundum,White Sapphire,2.62,White,Oval,VS1,Oval,9.9,6.8,6.2,Sri Lanka,Natural,false,Lotus,No,Ratnapura,AAA+,5,Export,22042,73.47,2024-03-15,High-End Dealer,"White white sapphire, VS1 clarity"
Sapphire,Corundum,Dark Blue Sapphire,1.56,Dark Blue,Emerald,VS,Emerald,7.0,6.0,4.3,Sri Lanka,Natural,true,AIGS,No,Balangoda,AAA,5,Local,47751,159.17,2023-01-10,Certified Dealer,"Dark Blue dark blue sapphire, VS clarity"
Sapphire,Corundum,Dark Blue Sapphire,8.51,Dark Blue,Emerald,VVS,Emerald,19.1,15.8,14.5,Sri Lanka,Natural,true,AIGS,No,Thambalagamuwa,AAAA,5,Export,3502178,11673.93,2023-09-30,Dealer,"Dark Blue dark blue sapphire, VVS clarity"
Sapphire,Corundum,Blue Sapphire,6.49,Normal Blue,Pear,VVS,Pear,14.9,11.5,8.6,Sri Lanka,Natural,true,AIGS,No,Balangoda,AAAA,8,Local,3040381,10134.6,2024-10-14,Collector,"Normal Blue blue sapphire, VVS clarity"
Sapphire,Corundum,Dark Blue Sapphire,7.06,Dark Blue,Emerald,VS1,Emerald,18.6,13.5,10.0,Sri Lanka,Natural,false,GIA,No,Thambalagamuwa,AA,10,International,3796630,12655.43,2024-09-22,Collector,"Dark Blue dark blue sapphire, VS1 clarity"
Tourmaline,Tourmaline,Green Tourmaline,5.97,Green,Emerald,VS,Emerald,12.4,12.2,8.7,Sri Lanka,Natural,false,GIA,No,Meetiyagoda,AAA,7,Collector,32691,108.97,2023-04-11,High-End Dealer,"Green green tourmaline, VS clarity"
Tourmaline,Tourmaline,Green Tourmaline,2.43,Green,Round,VS,Round,9.0,8.3,5.0,Sri Lanka,Natural,true,AIGS,No,Meetiyagoda,AAA,7,Collector,2633,8.78,2023-03-29,Certified Dealer,"Green green tourmaline, VS clarity"
Sapphire,Corundum,White Sapphire,4.6,White,Round,VS,Round,12.5,12.0,9.8,Sri Lanka,Natural,true,Lotus,No,Thambalagamuwa,AAA+,5,Local,50995,169.98,2023-07-19,Certified Dealer,"White white sapphire, VS clarity"
Sapphire,Corundum,White Sapphire,6.65,White,Round,VS1,Round,14.2,12.1,11.5,Sri Lanka,Natural,false,Lotus,No,Meetiyagoda,AAA,4,Collector,156156,520.52,2023-06-04,Collector,"White white sapphire, VS1 clarity"
Sapphire,Corundum,Padparadscha,9.64,Orange-Pink,Oval,Eye-clean,Oval,20.5,14.6,12.9,Sri Lanka,Unheated,false,AIGS,No,Balangoda,AAAA,6,Export,1114632,3715.44,2024-04-16,Certified Dealer,"Orange-Pink padparadscha, Eye-clean clarity"
Spinel,Spinel,Blue Spinel,7.84,Blue,Pear,SI,Pear,18.3,12.3,12.1,Sri Lanka,Natural,false,Lotus,No,Meetiyagoda,AA,6,Collector,75107,250.36,2023-02-02,Collector,"Blue blue spinel, SI clarity"
Sapphire,Corundum,Padparadscha,4.02,Orange-Pink,Emerald,VS1,Emerald,12.2,10.3,8.7,Sri Lanka,Unheated,false,Lotus,No,Meetiyagoda,AAA+,9,Export,107863,359.54,2024-07-30,High-End Dealer,"Orange-Pink padparadscha, VS1 clarity"
Spinel,Spinel,Blue Spinel,6.21,Blue,Oval,VS1,Oval,12.6,11.2,9.9,Sri Lanka,Natural,false,AIGS,No,Meetiyagoda,AAAA,9,Local,84864,282.88,2023-07-23,Collector,"Blue blue spinel, VS1 clarity"
Sapphire,Corundum,Yellow Sapphire,3.43,Yellow,Cushion,Eye-clean,Cushion,10.0,9.4,7.0,Sri Lanka,Natural,false,NGJA,No,Meetiyagoda,AA,4,Export,251697,838.99,2024-01-19,High-End Dealer,"Yellow yellow sapphire, Eye-clean clarity"
Sapphire,Corundum,Blue Sapphire,3.64,Royal Blue,Pear,VS1,Pear,10.7,8.5,6.4,Sri Lanka,Unheated,false,Lotus,No,Ratnapura,AAA,4,Local,36400000,121333.33,2023-12-30,Collector,"Royal Blue blue sapphire, VS1 clarity"
Sapphire,Corundum,Dark Blue Sapphire,4.51,Dark Blue,Emerald,Eye-clean,Emerald,12.5,11.7,8.0,Sri Lanka,Natural,false,AIGS,No,Elahera,AA,5,Collector,164240,547.47,2023-04-21,Certified Dealer,"Dark Blue dark blue sapphire, Eye-clean clarity"
Tourmaline,Tourmaline,Green Tourmaline,7.5,Green,Round,Eye-clean,Round,15.8,15.1,13.1,Sri Lanka,Natural,true,AIGS,No,Thambalagamuwa,AAAA,5,Collector,37232,124.11,2023-10-05,Certified Dealer,"Green green tourmaline, Eye-clean clarity"
Sapphire,Corundum,Yellow Sapphire,6.07,Yellow,Oval,VS,Oval,14.1,12.5,10.5,Sri Lanka,Natural,false,GIA,No,Ratnapura,AA,7,International,1500000,5000.0,2024-07-26,Collector,"Yellow yellow sapphire, VS clarity"
Spinel,Spinel,Blue Spinel,7.47,Blue,Emerald,VVS,Emerald,18.1,17.4,9.5,Sri Lanka,Natural,false,GIA,No,Elahera,AA,4,Local,94143,313.81,2024-08-05,Certified Dealer,"Blue blue spinel, VVS clarity"
Ruby,Corundum,Ruby,8.22,Red,Emerald,Eye-clean,Emerald,16.3,18.6,14.2,Sri Lanka,Natural,false,AIGS,No,Elahera,AAA+,4,Export,39908,133.03,2024-06-23,High-End Dealer,"Red ruby, Eye-clean clarity"
Sapphire,Corundum,Yellow Sapphire,4.14,Yellow,Pear,VS,Pear,12.7,11.3,7.2,Sri Lanka,Natural,true,NGJA,No,Thambalagamuwa,AAA,6,Export,309076,1030.25,2024-09-19,Certified Dealer,"Yellow yellow sapphire, VS clarity"
Sapphire,Corundum,Yellow Sapphire,8.95,Yellow,Emerald,VS1,Emerald,16.2,14.1,15.8,Sri Lanka,Natural,false,GIA,No,Thambalagamuwa,AAAA,5,Export,1500000,5000.0,2023-11-10,High-End Dealer,"Yellow yellow sapphire, VS1 clarity"
Sapphire,Corundum,Dark Blue Sapphire,2.48,Dark Blue,Emerald,VS1,Emerald,8.5,6.8,6.4,Sri Lanka,Natural,true,Lotus,No,Elahera,AAA,7,Collector,78371,261.24,2024-01-30,Certified Dealer,"Dark Blue dark blue sapphire, VS1 clarity"
Sapphire,Corundum,Dark Blue Sapphire,4.19,Dark Blue,Emerald,VVS,Emerald,10.8,8.4,8.5,Sri Lanka,Natural,false,AIGS,No,Meetiyagoda,AAAA,10,International,134676,448.92,2023-09-07,Dealer,"Dark Blue dark blue sapphire, VVS clarity"
Sapphire,Corundum,Dark Blue Sapphire,9.11,Dark Blue,Round,Eye-clean,Round,16.7,18.7,16.3,Sri Lanka,Natural,false,Lotus,No,Elahera,AA,10,Export,3252135,10840.45,2023-06-11,Certified Dealer,"Dark Blue dark blue sapphire, Eye-clean clarity"
Tourmaline,Tourmaline,Green Tourmaline,9.97,Green,Cushion,VS1,Cushion,24.7,17.0,13.4,Sri Lanka,Natural,true,AIGS,No,Balangoda,AAAA,7,Collector,35425,118.08,2023-11-04,Certified Dealer,"Green green tourmaline, VS1 clarity"
Tourmaline,Tourmaline,Green Tourmaline,2.29,Green,Emerald,VS1,Emerald,9.0,6.3,6.0,Sri Lanka,Natural,true,Lotus,No,Balangoda,AAAA,5,International,1957,6.52,2024-07-02,Certified Dealer,"Green green tourmaline, VS1 clarity"
Sapphire,Corundum,White Sapphire,1.84,White,Oval,VVS,Oval,7.5,6.9,5.4,Sri Lanka,Natural,true,AIGS,No,Thambalagamuwa,AAA+,7,International,15132,50.44,2024-10-25,Certified Dealer,"White white sapphire, VVS clarity"
Sapphire,Corundum,Blue Sapphire,2.2,Normal Blue,Pear,VS,Pear,8.4,7.0,5.6,Sri Lanka,Natural,true,AIGS,No,Thambalagamuwa,AAA,3,Export,638277,2127.59,2023-07-24,High-End Dealer,"Normal Blue blue sapphire, VS clarity"
Sapphire,Corundum,Blue Sapphire,6.81,Normal Blue,Cushion,VS,Cushion,17.6,13.5,12.4,Sri Lanka,Natural,false,Lotus,No,Thambalagamuwa,AAA+,7,International,3650302,12167.67,2023-10-26,Dealer,"Normal Blue blue sapphire, VS clarity"
Sapphire,Corundum,White Sapphire,9.12,White,Pear,VVS,Pear,15.9,15.6,12.0,Sri Lanka,Natural,true,AIGS,No,Balangoda,AAA,8,Local,162261,540.87,2023-10-19,Dealer,"White white sapphire, VVS clarity"
Sapphire,Corundum,White Sapphire,7.14,White,Cushion,VVS,Cushion,15.7,15.1,12.8,Sri Lanka,Natural,true,Lotus,No,Balangoda,AAAA,10,Local,193595,645.32,2024-05-11,High-End Dealer,"White white sapphire, VVS clarity"
Sapphire,Corundum,Blue Sapphire,9.51,Royal Blue,Cushion,VS1,Cushion,21.8,18.5,12.9,Sri Lanka,Unheated,false,AIGS,No,Elahera,AAA+,3,Collector,95100000,317000.0,2023-10-01,High-End Dealer,"Royal Blue blue sapphire, VS1 clarity"
Sapphire,Corundum,Padparadscha,5.19,Orange-Pink,Oval,SI,Oval,13.2,11.0,8.2,Sri Lanka,Unheated,false,AIGS,No,Meetiyagoda,AAAA,9,Local,1388789,4629.3,2023-11-13,Dealer,"Orange-Pink padparadscha, SI clarity"
Sapphire,Corundum,Dark Blue Sapphire,7.36,Dark Blue,Cushion,VVS,Cushion,14.8,13.9,10.6,Sri Lanka,Natural,false,NGJA,No,Meetiyagoda,AAA+,4,Collector,3016236,10054.12,2024-02-26,Dealer,"Dark Blue dark blue sapphire, VVS clarity"
Ruby,Corundum,Ruby,5.39,Red,Round,VVS,Round,13.9,11.6,10.1,Sri Lanka,Natural,true,NGJA,No,Meetiyagoda,AAA+,6,Local,37612,125.37,2024-06-13,Collector,"Red ruby, VVS clarity"
Sapphire,Corundum,Yellow Sapphire,4.92,Yellow,Oval,SI,Oval,11.6,12.5,10.3,Sri Lanka,Natural,false,AIGS,No,Thambalagamuwa,AAA+,8,Export,343304,1144.35,2024-04-17,Collector,"Yellow yellow sapphire, SI clarity"
Sapphire,Corundum,White Sapphire,8.71,White,Oval,VVS,Oval,17.5,18.2,10.7,Sri Lanka,Natural,true,GIA,No,Meetiyagoda,AA,7,Export,192879,642.93,2023-11-22,Collector,"White white sapphire, VVS clarity"
Sapphire,Corundum,White Sapphire,9.51,White,Oval,VS,Oval,22.9,16.2,15.2,Sri Lanka,Natural,true,Lotus,No,Ratnapura,AAA+,6,Collector,197892,659.64,2024-09-15,Collector,"White white sapphire, VS clarity"
Sapphire,Corundum,Blue Sapphire,5.64,Normal Blue,Cushion,Eye-clean,Cushion,12.2,12.1,9.2,Sri Lanka,Heated,false,NGJA,Yes,Elahera,AA,8,Local,3867579,12891.93,2024-07-07,High-End Dealer,"Normal Blue blue sapphire, Eye-clean clarity"
Sapphire,Corundum,Padparadscha,8.52,Orange-Pink,Cushion,VVS,Cushion,19.1,18.0,14.3,Sri Lanka,Unheated,false,AIGS,No,Ratnapura,AA,3,Export,1040366,3467.89,2024-11-25,Collector,"Orange-Pink padparadscha, VVS clarity"
Sapphire,Corundum,Blue Sapphire,9.79,Royal Blue,Round,SI,Round,18.8,17.2,14.7,Sri Lanka,Unheated,false,GIA,No,Meetiyagoda,AAA,7,Local,97899999,326333.33,2024-10-11,Certified Dealer,"Royal Blue blue sapphire, SI clarity"
Sapphire,Corundum,Blue Sapphire,4.75,Normal Blue,Round,VVS,Round,11.2,10.8,9.5,Sri Lanka,Natural,false,AIGS,No,Balangoda,AA,7,Local,1016042,3386.81,2024-11-22,Certified Dealer,"Normal Blue blue sapphire, VVS clarity"
Sapphire,Corundum,Dark Blue Sapphire,7.94,Dark Blue,Cushion,Eye-clean,Cushion,16.1,13.1,12.0,Sri Lanka,Natural,true,GIA,No,Balangoda,AA,8,Export,3369647,11232.16,2023-02-03,High-End Dealer,"Dark Blue dark blue sapphire, Eye-clean clarity"
Sapphire,Corundum,White Sapphire,4.84,White,Cushion,VS1,Cushion,12.3,11.3,8.1,Sri Lanka,Natural,false,GIA,No,Balangoda,AAA,10,International,48889,162.96,2023-08-30,Collector,"White white sapphire, VS1 clarity"
Sapphire,Corundum,Blue Sapphire,8.7,Normal Blue,Pear,VS1,Pear,21.0,14.5,11.6,Sri Lanka,Heated,true,Lotus,Yes,Ratnapura,AAAA,10,Collector,3651190,12170.63,2024-06-19,Collector,"Normal Blue blue sapphire, VS1 clarity"
Sapphire,Corundum,Blue Sapphire,9.92,Normal Blue,Round,VS1,Round,22.7,21.0,13.4,Sri Lanka,Natural,false,NGJA,No,Ratnapura,AA,7,Local,3951194,13170.65,2023-09-22,Collector,"Normal Blue blue sapphire, VS1 clarity"
Ruby,Corundum,Ruby,4.56,Red,Emerald,Eye-clean,Emerald,11.2,9.0,9.5,Sri Lanka,Natural,true,GIA,No,Balangoda,AAAA,3,International,13506,45.02,2024-10-02,Dealer,"Red ruby, Eye-clean clarity"
Sapphire,Corundum,Yellow Sapphire,3.74,Yellow,Oval,VS1,Oval,10.6,10.2,7.2,Sri Lanka,Natural,false,GIA,No,Elahera,AAA,6,International,214234,714.11,2024-05-28,Certified Dealer,"Yellow yellow sapphire, VS1 clarity"
Sapphire,Corundum,Yellow Sapphire,3.33,Yellow,Round,VVS,Round,10.3,9.3,7.2,Sri Lanka,Natural,false,AIGS,No,Thambalagamuwa,AA,3,International,249169,830.56,2023-12-02,Certified Dealer,"Yellow yellow sapphire, VVS clarity"
Spinel,Spinel,Blue Spinel,1.76,Blue,Pear,SI,Pear,7.7,6.3,4.8,Sri Lanka,Natural,true,NGJA,No,Elahera,AAA+,7,Export,5797,19.32,2024-11-02,Dealer,"Blue blue spinel, SI clarity"
Sapphire,Corundum,White Sapphire,9.18,White,Emerald,Eye-clean,Emerald,19.3,13.6,11.5,Sri Lanka,Natural,true,AIGS,No,Balangoda,AAA+,5,Local,173117,577.06,2024-04-30,Certified Dealer,"White white sapphire, Eye-clean clarity"
Sapphire,Corundum,Blue Sapphire,8.16,Normal Blue,Oval,Eye-clean,Oval,21.1,16.5,10.1,Sri Lanka,Natural,false,AIGS,No,Thambalagamuwa,AAAA,3,International,3633461,12111.54,2023-09-10,High-End Dealer,"Normal Blue blue sapphire, Eye-clean clarity"
Sapphire,Corundum,Dark Blue Sapphire,3.94,Dark Blue,Emerald,SI,Emerald,11.5,8.8,6.5,Sri Lanka,Natural,false,AIGS,No,Balangoda,AAA+,6,Export,127064,423.55,2023-12-30,High-End Dealer,"Dark Blue dark blue sapphire, SI clarity"
Sapphire,Corundum,Padparadscha,3.95,Orange-Pink,Emerald,VVS,Emerald,12.9,10.5,6.5,Sri Lanka,Unheated,false,Lotus,No,Ratnapura,AAA,4,International,146429,488.1,2024-03-27,Collector,"Orange-Pink padparadscha, VVS clarity"
Sapphire,Corundum,Blue Sapphire,1.12,Royal Blue,Cushion,VS1,Cushion,6.7,5.7,4.4,Sri Lanka,Unheated,false,NGJA,No,Ratnapura,AA,7,Local,11200000,37333.33,2024-01-15,Certified Dealer,"Royal Blue blue sapphire, VS1 clarity"
Sapphire,Corundum,Yellow Sapphire,5.71,Yellow,Oval,Eye-clean,Oval,11.9,13.6,8.7,Sri Lanka,Natural,false,Lotus,No,Thambalagamuwa,AAA+,8,Local,1500000,5000.0,2024-10-05,Collector,"Yellow yellow sapphire, Eye-clean clarity"
Spinel,Spinel,Blue Spinel,4.58,Blue,Oval,SI,Oval,12.2,11.5,8.3,Sri Lanka,Natural,false,AIGS,No,Meetiyagoda,AAAA,10,Local,18507,61.69,2023-03-26,Collector,"Blue blue spinel, SI clarity"
Ruby,Corundum,Ruby,8.76,Red,Emerald,Eye-clean,Emerald,19.4,16.2,13.0,Sri Lanka,Natural,false,NGJA,No,Elahera,AAA+,6,Local,31180,103.93,2023-06-07,Dealer,"Red ruby, Eye-clean clarity"
Sapphire,Corundum,Blue Sapphire,7.35,Royal Blue,Round,VS1,Round,14.9,11.9,9.3,Sri Lanka,Unheated,false,Lotus,No,Elahera,AAAA,7,Local,73500000,245000.0,2024-02-05,Dealer,"Royal Blue blue sapphire, VS1 clarity"
Sapphire,Corundum,Blue Sapphire,8.04,Normal Blue,Oval,VS1,Oval,15.4,17.5,14.8,Sri Lanka,Natural,true,NGJA,No,Meetiyagoda,AAA+,4,Local,3531769,11772.56,2024-11-19,Collector,"Normal Blue blue sapphire, VS1 clarity"
Sapphire,Corundum,Padparadscha,2.52,Orange-Pink,Oval,SI,Oval,9.7,7.2,5.6,Sri Lanka,Unheated,true,Lotus,No,Balangoda,AAA,10,International,76511,255.04,2023-03-16,Certified Dealer,"Orange-Pink padparadscha, SI clarity"
Ruby,Corundum,Ruby,8.55,Red,Pear,Eye-clean,Pear,16.4,12.6,13.6,Sri Lanka,Natural,true,AIGS,No,Ratnapura,AAA+,7,Export,37960,126.53,2024-04-23,Collector,"Red ruby, Eye-clean clarity"
Sapphire,Corundum,White Sapphire,6.2,White,Emerald,SI,Emerald,13.1,13.5,10.4,Sri Lanka,Natural,false,GIA,No,Elahera,AAAA,5,Collector,151506,505.02,2024-09-14,Collector,"White white sapphire, SI clarity"
Sapphire,Corundum,Dark Blue Sapphire,8.93,Dark Blue,Oval,VS,Oval,19.4,14.7,13.8,Sri Lanka,Natural,true,Lotus,No,Elahera,AA,7,Collector,3386048,11286.83,2024-02-10,Dealer,"Dark Blue dark blue sapphire, VS clarity"
Sapphire,Corundum,Dark Blue Sapphire,2.39,Dark Blue,Pear,VS1,Pear,9.6,7.6,5.0,Sri Lanka,Natural,true,AIGS,No,Ratnapura,AAA+,7,Export,69836,232.79,2024-10-30,Collector,"Dark Blue dark blue sapphire, VS1 clarity"
Sapphire,Corundum,Blue Sapphire,6.82,Normal Blue,Cushion,VS1,Cushion,17.5,13.9,10.3,Sri Lanka,Natural,true,NGJA,No,Ratnapura,AAA,3,Collector,3298961,10996.54,2023-12-31,Collector,"Normal Blue blue sapphire, VS1 clarity"
Sapphire,Corundum,Padparadscha,7.07,Orange-Pink,Emerald,SI,Emerald,17.1,16.1,12.9,Sri Lanka,Unheated,false,AIGS,No,Balangoda,AAA+,9,Collector,1145158,3817.19,2023-06-19,Certified Dealer,"Orange-Pink padparadscha, SI clarity"
Sapphire,Corundum,Blue Sapphire,6.68,Normal Blue,Emerald,VVS,Emerald,15.0,12.1,9.6,Sri Lanka,Natural,false,Lotus,No,Balangoda,AAA+,10,International,3407844,11359.48,2023-02-02,Certified Dealer,"Normal Blue blue sapphire, VVS clarity"
Spinel,Spinel,Blue Spinel,9.32,Blue,Pear,VVS,Pear,16.6,15.7,14.8,Sri Lanka,Natural,false,AIGS,No,Meetiyagoda,AAA,3,Collector,96488,321.63,2023-12-20,Dealer,"Blue blue spinel, VVS clarity"
Sapphire,Corundum,Padparadscha,1.65,Orange-Pink,Pear,VS1,Pear,7.5,5.8,4.5,Sri Lanka,Unheated,false,Lotus,No,Meetiyagoda,AAAA,4,Local,41276,137.59,2023-09-16,Certified Dealer,"Orange-Pink padparadscha, VS1 clarity"
Sapphire,Corundum,Dark Blue Sapphire,6.46,Dark Blue,Cushion,SI,Cushion,14.4,11.6,8.4,Sri Lanka,Natural,false,AIGS,No,Meetiyagoda,AAA+,6,Local,3913014,13043.38,2024-07-02,High-End Dealer,"Dark Blue dark blue sapphire, SI clarity"
